manufacturer,model,source_name,source_url,source_type,trust_level,local_snapshot_path,source_notes,model_notes,field_name,value_num,value_text,unit,raw_value_text,status,confidence,field_notes
Jelco,TK 850S,Respect Phono Jelco TK 850 S page,http://respectphono.de/en/jelco-tk-850-s-9-tonearm.html,dealer_page,secondary,,Respect Phono retail page for exact Jelco TK 850 S product.,Workbook exact-model follow-up for Jelco knife-edge short arm.,product_lineage,,"S-shaped radial arm with vertical knife bearing, statically balanced.",,"S-shaped radial arm with vertical knife bearing, statically balanced",parsed,0.82,Exact model presence from dealer page.
Jelco,TK 850S,Respect Phono Jelco TK 850 S page,http://respectphono.de/en/jelco-tk-850-s-9-tonearm.html,dealer_page,secondary,,Respect Phono retail page for exact Jelco TK 850 S product.,Workbook exact-model follow-up for Jelco knife-edge short arm.,effective_length_mm,232,,mm,232mm,parsed,0.84,Exact model dealer spec.
Jelco,TK 850S,Respect Phono Jelco TK 850 S page,http://respectphono.de/en/jelco-tk-850-s-9-tonearm.html,dealer_page,secondary,,Respect Phono retail page for exact Jelco TK 850 S product.,Workbook exact-model follow-up for Jelco knife-edge short arm.,overhang_mm,18,,mm,18mm,parsed,0.84,Exact model dealer spec.
Jelco,TK 850S,MrStylus Jelco lineup page,https://mrstylus.com/en/jelco/,official_distributor_page,official,,MrStylus Jelco lineup page listing current TK-series MKII arms with full geometry table.,Official distributor continuity support for workbook TK 850S target.,mounting_distance_mm,214,,mm,214 mm,parsed,0.72,Official distributor geometry for current TK-850S MKII continuity model.
Jelco,TK 850S,MrStylus Jelco lineup page,https://mrstylus.com/en/jelco/,official_distributor_page,official,,MrStylus Jelco lineup page listing current TK-series MKII arms with full geometry table.,Official distributor continuity support for workbook TK 850S target.,offset_angle_deg,23.75,,deg,23.75°,parsed,0.72,Official distributor geometry for current TK-850S MKII continuity model.
Jelco,TK 850L,Respect Phono Jelco TK 850 L page,http://respectphono.de/en/jelco-tk-850-l-12-tonearm.html,dealer_page,secondary,,Respect Phono retail page for exact Jelco TK 850 L product.,Workbook exact-model follow-up for Jelco knife-edge long arm.,product_lineage,,"S-shaped radial arm with vertical knife bearing, statically balanced.",,"S-shaped radial arm with vertical knife bearing, statically balanced",parsed,0.82,Exact model presence from dealer page.
Jelco,TK 850L,Respect Phono Jelco TK 850 L page,http://respectphono.de/en/jelco-tk-850-l-12-tonearm.html,dealer_page,secondary,,Respect Phono retail page for exact Jelco TK 850 L product.,Workbook exact-model follow-up for Jelco knife-edge long arm.,effective_length_mm,303,,mm,303mm,parsed,0.84,Exact model dealer spec.
Jelco,TK 850L,Respect Phono Jelco TK 850 L page,http://respectphono.de/en/jelco-tk-850-l-12-tonearm.html,dealer_page,secondary,,Respect Phono retail page for exact Jelco TK 850 L product.,Workbook exact-model follow-up for Jelco knife-edge long arm.,overhang_mm,13,,mm,13mm,parsed,0.84,Exact model dealer spec.
Jelco,TK 850L,MrStylus Jelco lineup page,https://mrstylus.com/en/jelco/,official_distributor_page,official,,MrStylus Jelco lineup page listing current TK-series MKII arms with full geometry table.,Official distributor continuity support for workbook TK 850L target.,mounting_distance_mm,290,,mm,290 mm,parsed,0.72,Official distributor geometry for current TK-850L MKII continuity model.
Jelco,TK 850L,MrStylus Jelco lineup page,https://mrstylus.com/en/jelco/,official_distributor_page,official,,MrStylus Jelco lineup page listing current TK-series MKII arms with full geometry table.,Official distributor continuity support for workbook TK 850L target.,offset_angle_deg,17.7,,deg,17.7°,parsed,0.72,Official distributor geometry for current TK-850L MKII continuity model.
Jelco,TK 950S,Respect Phono Jelco TK 950 S page,http://respectphono.de/en/jelco-tk-950-s-9-tonearm.html,dealer_page,secondary,,Respect Phono retail page for exact Jelco TK 950 S product.,Workbook exact-model follow-up for Jelco dynamic-balance short arm.,product_lineage,,"S-shaped radial arm with vertical knife bearing, dynamically balanced.",,"S-shaped radial arm with vertical knife bearing, dynamically balanced",parsed,0.82,Exact model presence from dealer page.
