manufacturer_name,model_name,target_group,target_type,priority_tier,status,source_hint,notes
Acoustic Signature,Invictus NEO,Invictus,turntable,secondary,hydrated,official product page,Flagship Acoustic Signature table target.
Acoustic Signature,Maximus NEO,Maximus,turntable,secondary,hydrated,official product page,Compact Acoustic Signature NEO-series target.
Audio Note,TT-Three,TT,turntable,secondary,hydrated,official product page,Current Audio Note higher-tier turntable target.
Basis Audio,Debut V,Debut,turntable,secondary,hydrated,official page / catalog,Basis flagship turntable target.
Brinkmann,Bardo,Bardo,turntable,secondary,hydrated,official product page,Brinkmann direct-drive turntable target.
Clearaudio,Innovation,Innovation,turntable,secondary,hydrated,official product page,Clearaudio reference-line turntable target.
Clearaudio,Ovation,Ovation,turntable,secondary,hydrated,official product page,Clearaudio performance-line turntable target.
Denon,DP-3000NE,DP,turntable,secondary,hydrated,official product page,Current Denon flagship direct-drive turntable target.
Dr. Feickert,Blackbird,Bird,turntable,secondary,hydrated,official product page,Dr. Feickert classic high-end turntable target.
Dual,CS 618Q,CS,turntable,secondary,hydrated,official product page,Current Dual direct-drive turntable target.
Garrard,301,301/401,turntable,secondary,hydrated,historical documentation,Historic Garrard idler-drive turntable target.
Gold Note,Mediterraneo,Mediterraneo,turntable,secondary,hydrated,official product page,Gold Note reference wood-plinth table target.
Goldmund,Reference,Reference,turntable,secondary,hydrated,archival official page,Historic Goldmund statement turntable target.
Kuzma,Stabi R,Stabi,turntable,primary,hydrated,official product page,Flagship Kuzma turntable target.
Linn,Selekt LP12,LP12,turntable,secondary,hydrated,official product page,Upper-mid Linn LP12 package target.
Linn,Sondek LP12 Klimax,LP12,turntable,primary,hydrated,official product page,Flagship Linn LP12 target.
Michell,GyroDec,Gyro,turntable,secondary,hydrated,official product page,Michell signature suspended table target.
Micro Seiki,SX-8000 II,SX,turntable,secondary,hydrated,archival brochure / manual,Historic Micro Seiki statement table target.
Nottingham Analogue,Space Deck,Space Deck,turntable,secondary,hydrated,dealer manual / official manual mirror,Classic Nottingham Analogue suspended turntable target.
Oracle,Delphi MKVI,Delphi,turntable,secondary,hydrated,official product page,Oracle flagship suspended turntable target.
Pear Audio,Kid Thomas,Kid,turntable,secondary,hydrated,official product page,Pear Audio entry-level turntable target.
Pioneer,PLX-1000,PLX,turntable,secondary,hydrated,official product page,Current Pioneer DJ direct-drive turntable target.
Pro-Ject,Debut PRO S Balanced,Debut PRO,turntable,secondary,hydrated,official product page,Modern Pro-Ject balanced-output turntable target.
Pro-Ject,Xtension 12 Evolution,Xtension,turntable,secondary,hydrated,official product page,Pro-Ject high-end turntable target.
Rega,Planar 10,Planar,turntable,primary,hydrated,official product page,Current Rega reference turntable target.
Rega,Planar 8,Planar,turntable,secondary,hydrated,official product page,Upper-tier Rega skeletal turntable target.
SME,Model 15,Model 15,turntable,secondary,hydrated,official product page,Compact SME suspended turntable target.
SME,Model 20/3,Model 20,turntable,secondary,hydrated,official product page,SME compact suspended turntable target.
Sony,PS-LX310BT,PS,turntable,secondary,hydrated,official product page,Current Sony wireless turntable target.
TW-Acustic,Raven LS,Raven,turntable,secondary,hydrated,official product page,TW-Acustic Raven-series target.
Technics,SL-1200G,SL-1200,turntable,primary,hydrated,official product page,Current Technics flagship-core direct-drive target.
Technics,SP-10R,SP-10,turntable,secondary,hydrated,official product page,Reference Technics motor-unit turntable target.
Thorens,TD 124 DD,TD 124,turntable,primary,hydrated,official product page,Current Thorens statement direct-drive target.
Thorens,TD 1600,TD 1600,turntable,secondary,hydrated,official product page,Modern suspended Thorens turntable target.
VPI,Avenger,Avenger,turntable,secondary,hydrated,official product page,Multi-arm VPI reference-series target.
VPI,Prime 21,Prime,turntable,primary,hydrated,official product page,Current VPI Prime-series target.
Well Tempered Lab,Amadeus,Amadeus,turntable,secondary,hydrated,official product page,Well Tempered core turntable target.
Yamaha,GT-5000,GT,turntable,secondary,hydrated,official product page,Modern Yamaha flagship turntable target.
