manufacturer_name,canonical_db_manufacturer,manufacturer_type,coverage_focus,priority_tier,status,current_db_model_count,target_model_count,discovery_source,search_terms,notes
Graham,Graham,standalone-upgrade,upgrade-tonearms,primary,hydrated-partial,10,15,user-priority,Graham tonearm Phantom manual effective length pivot to spindle,Primary upgrade-arm coverage target.
Kuzma,Kuzma,standalone-upgrade,upgrade-tonearms,primary,hydrated-partial,12,20,user-priority,Kuzma tonearm 4Point Stogi Air Line manual effective length overhang,Primary upgrade-arm coverage target.
Origin Live,Origin Live,standalone-upgrade,upgrade-tonearms,primary,hydrated,15,14,user-priority,Origin Live tonearm Alliance Onyx Silver Zephyr manual overhang,Primary upgrade-arm coverage target.
Rega,Rega,standalone-upgrade,upgrade-tonearms,primary,hydrated,9,8,user-priority,Rega RB250 RB300 RB330 effective mass mounting distance overhang,Primary upgrade-arm coverage target.
Supatrac,Supatrac,boutique-upgrade,upgrade-tonearms,primary,hydrated,12,15,user-priority,Supatrac Blackbird Nighthawk Farpoint manual effective length overhang,Primary upgrade-arm coverage target.
Tri-Planar,Tri-Planar,standalone-upgrade,upgrade-tonearms,primary,hydrated-partial,4,4,user-priority,Tri-Planar tonearm Mk VII U2 SE U12 manual effective length overhang,Primary upgrade-arm coverage target.
AMG,AMG,boutique-upgrade,cottage-boutique-arms,secondary,hydrated-partial,2,4,user-priority-followup,AMG 9W2 12JT tonearm geometry effective length overhang,High-end German tonearm maker added by user.
Acoustic Signature,Acoustic Signature,turntable-combo,high-end-turntable-combos,secondary,hydrated-partial,3,5,stereophile-2025-followup,Acoustic Signature TA-5000 NEO TA-7000 NEO tonearm geometry effective length overhang,Stereophile 2025 recommended tonearm maker follow-up.
Acoustic Solid,Acoustic Solid,boutique-upgrade,cottage-boutique-arms,secondary,hydrated,3,2,external-list-followup,Acoustic Solid tonearm WTB 213 WTB 370 geometry effective length overhang,Missing from current DB/queue but present in broad external manufacturer list.
Acoustical Systems,Acoustical Systems,boutique-upgrade,cottage-boutique-arms,secondary,hydrated-partial,2,5,stereophile-2025-followup,Acoustical Systems AQUILAR 10 AXIOM 12 reference tonearm geometry effective length overhang,Stereophile 2025 recommended tonearm maker follow-up.
Air Tangent,Air Tangent,boutique-upgrade,parallel-tracking-arms,secondary,hydrated,3,4,external-list-followup,Air Tangent tonearm 2A 2B geometry effective length linear tracker,High-priority missing linear-tracking manufacturer from broad external list.
Alphason Designs,Alphason,standalone-upgrade,upgrade-tonearms,secondary,hydrated,3,2,external-list-followup,Alphason Designs HR-100S HR-100MCS tonearm geometry effective length overhang,High-priority missing classic upgrade-arm maker from broad external list.
