manufacturer,model,source_name,source_url,source_type,trust_level,local_snapshot_path,source_notes,model_notes,field_name,value_num,value_text,unit,raw_value_text,status,confidence,field_notes
VPI,JMW-10.5,VPI tonearm geometry analysis,https://www.vinylengine.com/vpi-tonearm-geometry.shtml,secondary_analysis,secondary,,Secondary geometry analysis; official VPI pages confirm adjacent JMW family and model naming but not full geometry table,Legacy JMW-10.5 geometry from secondary analysis.,mounting_distance_mm,250.0,,mm,250 mm spindle to pivot,parsed,0.65,Secondary source; use cautiously until official geometry sheet surfaces.
VPI,JMW-10.5,VPI tonearm geometry analysis,https://www.vinylengine.com/vpi-tonearm-geometry.shtml,secondary_analysis,secondary,,Secondary geometry analysis; official VPI pages confirm adjacent JMW family and model naming but not full geometry table,Legacy JMW-10.5 geometry from secondary analysis.,effective_length_mm,265.0,,mm,Derived from 250 mm spindle to pivot and 15 mm overhang,derived,0.65,Secondary source; use cautiously until official geometry sheet surfaces.
VPI,JMW-10.5,VPI tonearm geometry analysis,https://www.vinylengine.com/vpi-tonearm-geometry.shtml,secondary_analysis,secondary,,Secondary geometry analysis; official VPI pages confirm adjacent JMW family and model naming but not full geometry table,Legacy JMW-10.5 geometry from secondary analysis.,overhang_mm,15.0,,mm,15 mm,parsed,0.65,Secondary source.
VPI,JMW-10.5,VPI tonearm geometry analysis,https://www.vinylengine.com/vpi-tonearm-geometry.shtml,secondary_analysis,secondary,,Secondary geometry analysis; official VPI pages confirm adjacent JMW family and model naming but not full geometry table,Legacy JMW-10.5 geometry from secondary analysis.,offset_angle_deg,22.0,,deg,22 degrees,parsed,0.65,Secondary source.
VPI,JMW-10.5,VPI tonearm geometry analysis,https://www.vinylengine.com/vpi-tonearm-geometry.shtml,secondary_analysis,secondary,,Secondary geometry analysis; official VPI pages confirm adjacent JMW family and model naming but not full geometry table,Legacy JMW-10.5 geometry from secondary analysis.,null_points,,53 / 145.4,,53 mm and 145.4 mm,parsed,0.55,Secondary geometry-analysis result.
VPI,JMW-10.5,VPI tonearm geometry analysis,https://www.vinylengine.com/vpi-tonearm-geometry.shtml,secondary_analysis,secondary,,Secondary geometry analysis; official VPI pages confirm adjacent JMW family and model naming but not full geometry table,Legacy JMW-10.5 geometry from secondary analysis.,null_point_inner_mm,53.0,,mm,53 mm,parsed,0.55,Secondary geometry-analysis result.
VPI,JMW-10.5,VPI tonearm geometry analysis,https://www.vinylengine.com/vpi-tonearm-geometry.shtml,secondary_analysis,secondary,,Secondary geometry analysis; official VPI pages confirm adjacent JMW family and model naming but not full geometry table,Legacy JMW-10.5 geometry from secondary analysis.,null_point_outer_mm,145.4,,mm,145.4 mm,parsed,0.55,Secondary geometry-analysis result.
VPI,JMW-10.5i,VPI tonearm geometry analysis,https://www.vinylengine.com/vpi-tonearm-geometry.shtml,secondary_analysis,secondary,,Secondary geometry analysis; official VPI Classic and Scoutmaster pages confirm JMW-10.5i existence,Legacy rigid-mount JMW-10.5i geometry from secondary analysis plus official model-existence corroboration.,mounting_distance_mm,262.0,,mm,262 mm spindle to pivot,parsed,0.7,Secondary geometry source with official model-existence corroboration.
VPI,JMW-10.5i,VPI tonearm geometry analysis,https://www.vinylengine.com/vpi-tonearm-geometry.shtml,secondary_analysis,secondary,,Secondary geometry analysis; official VPI Classic and Scoutmaster pages confirm JMW-10.5i existence,Legacy rigid-mount JMW-10.5i geometry from secondary analysis plus official model-existence corroboration.,effective_length_mm,277.0,,mm,Derived from 262 mm spindle to pivot and 15 mm overhang,derived,0.7,Secondary geometry source with official model-existence corroboration.
VPI,JMW-10.5i,VPI tonearm geometry analysis,https://www.vinylengine.com/vpi-tonearm-geometry.shtml,secondary_analysis,secondary,,Secondary geometry analysis; official VPI Classic and Scoutmaster pages confirm JMW-10.5i existence,Legacy rigid-mount JMW-10.5i geometry from secondary analysis plus official model-existence corroboration.,overhang_mm,15.0,,mm,15 mm,parsed,0.7,Secondary source.
VPI,JMW-10.5i,VPI tonearm geometry analysis,https://www.vinylengine.com/vpi-tonearm-geometry.shtml,secondary_analysis,secondary,,Secondary geometry analysis; official VPI Classic and Scoutmaster pages confirm JMW-10.5i existence,Legacy rigid-mount JMW-10.5i geometry from secondary analysis plus official model-existence corroboration.,offset_angle_deg,22.0,,deg,22 degrees,parsed,0.7,Secondary source.
VPI,JMW-10.5i,VPI tonearm geometry analysis,https://www.vinylengine.com/vpi-tonearm-geometry.shtml,secondary_analysis,secondary,,Secondary geometry analysis; official VPI Classic and Scoutmaster pages confirm JMW-10.5i existence,Legacy rigid-mount JMW-10.5i geometry from secondary analysis plus official model-existence corroboration.,null_points,,52 / 155.5,,52 mm and 155.5 mm,parsed,0.6,Secondary geometry-analysis result.
VPI,JMW-10.5i,VPI tonearm geometry analysis,https://www.vinylengine.com/vpi-tonearm-geometry.shtml,secondary_analysis,secondary,,Secondary geometry analysis; official VPI Classic and Scoutmaster pages confirm JMW-10.5i existence,Legacy rigid-mount JMW-10.5i geometry from secondary analysis plus official model-existence corroboration.,null_point_inner_mm,52.0,,mm,52 mm,parsed,0.6,Secondary geometry-analysis result.
VPI,JMW-10.5i,VPI tonearm geometry analysis,https://www.vinylengine.com/vpi-tonearm-geometry.shtml,secondary_analysis,secondary,,Secondary geometry analysis; official VPI Classic and Scoutmaster pages confirm JMW-10.5i existence,Legacy rigid-mount JMW-10.5i geometry from secondary analysis plus official model-existence corroboration.,null_point_outer_mm,155.5,,mm,155.5 mm,parsed,0.6,Secondary geometry-analysis result.
