manufacturer,model,source_name,source_url,source_type,trust_level,local_snapshot_path,source_notes,model_notes,feature_kind,feature_text,status,confidence,feature_notes
Rega,Planar 10,Rega Planar 10 Turntable,https://www.rega.co.uk/products/planar-10,official_website,official,,Official Rega Planar 10 product page.,Current Rega reference turntable target.,summary,"Ultra-light skeletal turntable inspired by the Naiad, built around a Tancast 8 foam-core plinth with ceramic bracing, ceramic oxide platter, RB3000 tonearm, and dedicated P10 PSU.",parsed,0.96,Official feature summary.
Rega,Planar 10,Rega Planar 10 Turntable,https://www.rega.co.uk/products/planar-10,official_website,official,,Official Rega Planar 10 product page.,Current Rega reference turntable target.,key_features,"Key official features include a ceramic oxide diamond-cut platter, double-brace plinth architecture, low-noise 24 V synchronous motor, EBLT drive belt, and outboard electronic speed-control PSU.",parsed,0.95,Official key-features digest.
Technics,SL-1200G,Technics SL-1200G-S official page,https://us.technics.com/products/direct-drive-turntable-system-sl-1200g-s,official_website,official,,Official Technics SL-1200G product page for silver finish SKU SL-1200G-S.,Current Technics flagship-core direct-drive target.,summary,"Modern reference direct-drive turntable using a coreless direct-drive motor, advanced motor control, three-layer platter construction, factory balance adjustment, and a high-sensitivity magnesium tonearm.",parsed,0.96,Official feature summary for SL-1200G series.
Technics,SL-1200G,Technics SL-1200G-S official page,https://us.technics.com/products/direct-drive-turntable-system-sl-1200g-s,official_website,official,,Official Technics SL-1200G product page for silver finish SKU SL-1200G-S.,Current Technics flagship-core direct-drive target.,drive_system,Technics positions the SL-1200G as a no-cogging coreless direct-drive design with high starting torque and high-speed stability.,parsed,0.95,Official drive-system digest.
Thorens,TD 124 DD,Thorens TD 124 DD official page,https://www.thorens.com/en/products/thorens-td-124-dd.html,official_website,official,,Official Thorens TD 124 DD product page.,Current Thorens statement direct-drive target.,summary,"Modern revival of the classic TD 124, combining a redesigned direct-drive platform with height-adjustable aluminium chassis, TP 124 tonearm, external power supply, and balanced plus unbalanced outputs.",parsed,0.96,Official feature summary.
Thorens,TD 124 DD,Thorens TD 124 DD official page,https://www.thorens.com/en/products/thorens-td-124-dd.html,official_website,official,,Official Thorens TD 124 DD product page.,Current Thorens statement direct-drive target.,heritage,"Thorens presents the TD 124 DD as a direct-drive reinterpretation of the original 1957 TD 124, preserving the purist design concept while replacing the idler-and-belt system with a high-precision direct drive.",parsed,0.95,Official lineage summary.
Linn,Sondek LP12 Klimax,Linn turntables page,https://www.linn.co.uk/turntables,official_website,official,,Official Linn turntables landing page.,Flagship Linn LP12 target represented using Linn’s current turntables page naming and lineup summary.,summary,Linn presents Klimax LP12 as the ultimate pre-configured expression of the modular Sondek LP12 platform within the current three-tier LP12 lineup.,parsed,0.9,Official lineup summary; exact target name normalized to seed order.
Linn,Sondek LP12 Klimax,Linn turntables page,https://www.linn.co.uk/turntables,official_website,official,,Official Linn turntables landing page.,Flagship Linn LP12 target represented using Linn’s current turntables page naming and lineup summary.,platform,"The official Linn turntables page describes Sondek LP12 as a modular, upgradeable turntable architecture with more than five decades of development and over fifty retrofittable upgrades.",parsed,0.91,Official platform description.
Kuzma,Stabi R,Kuzma Stabi R official page,https://www.kuzma.si/stabi-r.3.html,official_website,official,,Official Kuzma Stabi R product page and linked official site descriptions.,Flagship Kuzma turntable target.,summary,"Compact high-end turntable platform built around a solid aluminium base with internal power supply and extensive arm-mounting flexibility, offered in multiple arm-board and finish configurations.",parsed,0.88,Official product-page summary with exact model identification.
Kuzma,Stabi R,Kuzma Stabi R official site description,https://www.kuzma.si/stabi-r-world-premiere-munchen-2018.html,official_website,official,,Official Kuzma Stabi R descriptive page surfaced from official site search.,Flagship Kuzma turntable target.,drive_and_platter,Kuzma describes the Stabi R as using a DC motor with proprietary non-flexible belt drive and a constrained three-layer aluminium-acrylic-aluminium platter intended to minimise vibration and maximise damping.,parsed,0.93,Official descriptive summary from Kuzma site.
