manufacturer,model_name,feature_text,sources
Acoustic Signature,Invictus NEO,"Reference high-mass belt-drive turntable with six isolated AC motors, external DMC-20 motor controller, massive aluminium chassis, and support for up to four tonearms.,Acoustic Signature specifies a Dura Turn Diamond bearing, 16.5 kg 335 mm sandwich platter with brass layer and 48 silencer modules, CLD damping chassis, belt drive with fine speed adjustment, and 3D magnetic double-damping feet.",Acoustic Signature Invictus NEO official page
Acoustic Signature,Maximus NEO,"Compact NEO-series belt-drive turntable with integrated digital motor control, DTD bearing, resonance-reducing aluminium chassis, and gel-damped three-point support.,Acoustic Signature lists one integrated AC motor, belt drive with speed fine adjustment, AVC Level 1, Dura Turn Diamond bearing, 5.8 kg aluminium platter, 30 mm aluminium chassis, compatibility with one 9-inch tonearm, and total weight around 18 kg.",Acoustic Signature Maximus NEO official page
Audio Note,TT-Three,"Three-motor suspended belt-drive turntable using a very light Lexan platter, digitally synthesized master motor control, and an Audio Note armboard configuration for the company’s own 9-inch tonearms.,Audio Note describes a three-point suspended design centered at the bearing, with sub-chassis mass balancing so each suspension tower carries an equalized load.",Audio Note TT-Three official page
Basis Audio,Debut V,"Basis Audio’s official site explicitly references the Debut Mark 5 as a new turntable in the Debut line, described there as a significant improvement over Debut III with lower noise, stronger dynamics, tighter bass, and better-defined highs.,Basis says its Signature Series revisions further distance the Debut suspension, already described by the company as the most effective isolation system on any turntable, from competing suspensions while also reducing motor vibration and improving bearing finish.","Basis Audio awards and reviews page,Basis Audio Signature Series technical paper"
Brinkmann,Bardo,"Magnetic direct-drive turntable derived from Brinkmann’s Oasis concept, with rotating arm base for 9- to 12-inch tonearms, selectable 33⅓ and 45 RPM speeds, and external power supply.,Brinkmann specifies a magnetic direct-drive motor with soft proportional control, hydrodynamic journal bearing, resonance-optimized aluminium platter with crystal-glass surface, 15 mm Duralumin chassis, wow and flutter of 0.035% weighted DIN, and total weight of 14.8 kg.",Brinkmann Bardo official page
Clearaudio,Innovation,"Reference-line belt-drive turntable with optical speed control, high-torque decoupled DC motor, 70 mm high-density acrylic platter, ceramic magnetic bearing, and optional second tonearm capability.,Clearaudio lists real-time optical speed control via infrared sensor, a 24V high-torque DC belt-drive motor, inverted lower drive bearing with CMB ceramic magnetic bearing in the main platter assembly, 33⅓/45/78 RPM support, and approximate weight of 24 kg.",Clearaudio Innovation official page
Clearaudio,Ovation,"Performance-line Clearaudio turntable with timeless minimalist design, sandwich chassis construction, optical speed control heritage, and a resonance-damped platter-and-bearing system.,Clearaudio states the Ovation uses a precision-machined aluminium-and-panzerholz chassis with 100,000 embedded metal balls for resonance control, a 40 mm resonancedamping platter, and optical speed-control technology derived from higher-tier designs.",Clearaudio Ovation official page
Denon,DP-3000NE,"Flagship Denon direct-drive hi-fi turntable with solid construction, S-shaped tonearm, dark ebony veneer, and manual operation.,Denon highlights a direct-drive motor with stable speed at 33⅓, 45, and 78 RPM, SV-PWM motor control, and a carefully engineered S-shaped tonearm with 9 mm vertical height adjustment and compatibility with a wide variety of MM and MC cartridges.",Denon DP-3000NE official page
Dr. Feickert,Blackbird,"High-end belt-drive turntable developed as a larger, two-tonearm-capable evolution of the Woodpecker, with dual-motor drive and integrated cartridge protractor.,Feickert specifies a belt-drive platform with two motors in master-slave control, quick-release system for two tonearms, integrated alignment protractor, 530 × 420 × 150 mm dimensions, and 22 kg weight without tonearm.",Feickert Blackbird official page
Dual,CS 618Q,"Traditional manual direct-drive turntable with quartz-stabilized motor, automatic lift and stop function, twin-gimbal precision tonearm, and factory-fitted Ortofon 2M Blue cartridge.,Dual specifies quartz-stabilized 33/45/78 direct drive with coreless inductors, aluminium die-cast platter, heavy rubber mat, solid aluminium gimbal construction, interchangeable headshell, and elastomer vibration absorbers inside the feet.",Dual CS 618Q official page
